name,year,frequency
Beauté,38,1527
Education,38,1012
Associatif,38,1799
Actualites,38,1123
Fortnite,39,4426
Film,39,832
Automobile,39,390
Musique,39,951
Animaux,39,269
Sports,39,1326
Voyage et événements,39,596
Gaming,39,2740
Divertissement,39,1676
Politique,39,1369
Beauté,39,1559
Education,39,1023
Associatif,39,1744
Actualites,39,1094
Fortnite,40,4509
Film,40,876
Automobile,40,382
Musique,40,979
Animaux,40,252
Sports,40,1214
Voyage et événements,40,637
Gaming,40,2778
Divertissement,40,1620
Politique,40,1348
Beauté,40,1560
Education,40,978
Associatif,40,1712
Actualites,40,1016
Fortnite,41,4357
Film,41,905
Automobile,41,387
Musique,41,967
Animaux,41,240
Sports,41,1153
Voyage et événements,41,671
Gaming,41,3389
Divertissement,41,1604
Politique,41,1299
Beauté,41,1531
Education,41,970
Associatif,41,1757
Actualites,41,1030
Fortnite,42,4615
Film,42,844
Automobile,42,389
Musique,42,937
Animaux,42,244
Sports,42,1382
Voyage et événements,42,745
Gaming,42,3492
Divertissement,42,1521
Politique,42,1270
Beauté,42,1473
Education,42,938
Associatif,42,1769
Actualites,42,937
Fortnite,43,4328
Film,43,817
Automobile,43,353
Musique,43,958
Animaux,43,244
Sports,43,1595
Voyage et événements,43,730
Gaming,43,2913
Divertissement,43,1511
Politique,43,1301
Beauté,43,1420
Education,43,892
Associatif,43,1765
Actualites,43,841
Fortnite,44,3498
Film,44,854
Automobile,44,354
Musique,44,1071
Animaux,44,256
Sports,44,1425
Voyage et événements,44,668
Gaming,44,2736
Divertissement,44,1669
Politique,44,1409
Beauté,44,1408
Education,44,954
Associatif,44,1833
Actualites,44,934
Fortnite,45,3034
Film,45,859
Automobile,45,366
Musique,45,1074
Animaux,45,315
Sports,45,1289
Voyage et événements,45,622
Gaming,45,2624
Divertissement,45,1771
Politique,45,1471
Beauté,45,1445
Education,45,1039
Associatif,45,1856
Actualites,45,1090
Fortnite,46,2783
Film,46,773
Automobile,46,350
Musique,46,994
Animaux,46,332
Sports,46,1317
Voyage et événements,46,575
Gaming,46,2670
Divertissement,46,1742
Politique,46,1452
Beauté,46,1511
Education,46,1079
Associatif,46,1813
Actualites,46,1125
Fortnite,47,2837
Film,47,855
Automobile,47,323
Musique,47,969
Animaux,47,310
Sports,47,1252
Voyage et événements,47,577
Gaming,47,2677
Divertissement,47,1762
Politique,47,1469
Beauté,47,1600
Education,47,1097
Associatif,47,1819
Actualites,47,1082
Fortnite,48,2875
Film,48,884
Automobile,48,340
Musique,48,956
Animaux,48,344
Sports,48,1151
Voyage et événements,48,578
Gaming,48,2769
Divertissement,48,1739
Politique,48,1425
Beauté,48,1586
Education,48,1115
Associatif,48,1825
Actualites,48,1001
Fortnite,49,2339
Film,49,711
Automobile,49,393
Musique,49,974
Animaux,49,355
Sports,49,1062
Voyage et événements,49,595
Gaming,49,2867
Divertissement,49,1633
Politique,49,1392
Beauté,49,1466
Education,49,1119
Associatif,49,1801
Actualites,49,980
Fortnite,50,2298
Film,50,648
Automobile,50,399
Musique,50,1002
Animaux,50,351
Sports,50,1120
Voyage et événements,50,616
Gaming,50,2861
Divertissement,50,1600
Politique,50,1412
Beauté,50,1483
Education,50,1112
Associatif,50,1839
Actualites,50,973
Fortnite,51,1527
Film,51,989
Automobile,51,439
Musique,51,967
Animaux,51,329
Sports,51,1419
Voyage et événements,51,587
Gaming,51,2741
Divertissement,51,1820
Politique,51,1323
Beauté,51,1295
Education,51,1071
Associatif,51,1860
Actualites,51,1002
Fortnite,52,2699
Film,52,1178
Automobile,52,417
Musique,52,980
Animaux,52,263
Sports,52,1362
Voyage et événements,52,535
Gaming,52,3499
Divertissement,52,1808
Politique,52,1178
Beauté,52,1421
Education,52,849
Associatif,52,1766
Actualites,52,939
Fortnite,53,5100
Film,53,992
Automobile,53,318
Musique,53,951
Animaux,53,280
Sports,53,1233
Voyage et événements,53,495
Gaming,53,3312
Divertissement,53,1626
Politique,53,1278
Beauté,53,1605
Education,53,708
Associatif,53,1615
Actualites,53,1047
Fortnite,54,3775
Film,54,1037
Automobile,54,311
Musique,54,896
Animaux,54,280
Sports,54,1336
Voyage et événements,54,473
Gaming,54,2379
Divertissement,54,1784
Politique,54,1787
Beauté,54,1240
Education,54,787
Associatif,54,1574
Actualites,54,1699
Fortnite,55,2098
Film,55,1020
Automobile,55,382
Musique,55,902
Animaux,55,200
Sports,55,1445
Voyage et événements,55,439
Gaming,55,2298
Divertissement,55,1755
Politique,55,2188
Beauté,55,915
Education,55,836
Associatif,55,1543
Actualites,55,2159
Fortnite,56,1689
Film,56,821
Automobile,56,387
Musique,56,768
Animaux,56,180
Sports,56,1962
Voyage et événements,56,414
Gaming,56,1891
Divertissement,56,1563
Politique,56,2412
Beauté,56,874
Education,56,870
Associatif,56,1411
Actualites,56,3853
Fortnite,57,1818
Film,57,697
Automobile,57,318
Musique,57,664
Animaux,57,179
Sports,57,2463
Voyage et événements,57,468
Gaming,57,1866
Divertissement,57,1496
Politique,57,2851
Beauté,57,1003
Education,57,953
Associatif,57,1479
Actualites,57,5782
Fortnite,58,1536
Film,58,764
Automobile,58,364
Musique,58,678
Animaux,58,132
Sports,58,3101
Voyage et événements,58,528
Gaming,58,2065
Divertissement,58,1643
Politique,58,2861
Beauté,58,1047
Education,58,1231
Associatif,58,1547
Actualites,58,4411
Fortnite,59,2288
Film,59,764
Automobile,59,374
Musique,59,749
Animaux,59,142
Sports,59,3105
Voyage et événements,59,643
Gaming,59,2082
Divertissement,59,1647
Politique,59,2388
Beauté,59,1085
Education,59,1455
Associatif,59,1612
Actualites,59,2625
Fortnite,60,4030
Film,60,705
Automobile,60,346
Musique,60,867
Animaux,60,210
Sports,60,2993
Voyage et événements,60,721
Gaming,60,2159
Divertissement,60,1535
Politique,60,2077
Beauté,60,1225
Education,60,1309
