name,year,frequency
famille,71,357
dimanche,71,210
social,71,66
projet,71,143
membres,71,87
enfants,71,332
priere,71,531
chretienne,71,436
jesus,72,356
famille,72,391
dimanche,72,199
social,72,63
projet,72,151
membres,72,96
enfants,72,327
priere,72,560
chretienne,72,434
jesus,73,352
famille,73,417
dimanche,73,204
social,73,66
projet,73,157
membres,73,96
enfants,73,313
priere,73,571
chretienne,73,423
jesus,74,333
famille,74,414
dimanche,74,214
social,74,66
projet,74,154
membres,74,101
enfants,74,326
priere,74,570
chretienne,74,419
jesus,75,327
famille,75,379
dimanche,75,223
social,75,62
projet,75,157
membres,75,109
enfants,75,346
priere,75,535
chretienne,75,418
jesus,76,307
famille,76,370
dimanche,76,222
social,76,58
projet,76,160
membres,76,111
enfants,76,332
priere,76,497
chretienne,76,400
jesus,77,297
famille,77,377
dimanche,77,217
social,77,54
projet,77,160
membres,77,104
enfants,77,328
priere,77,500
chretienne,77,387
jesus,78,325
famille,78,385
dimanche,78,215
social,78,54
projet,78,136
membres,78,96
enfants,78,366
priere,78,556
chretienne,78,419
jesus,79,337
famille,79,352
dimanche,79,223
social,79,56
projet,79,129
membres,79,104
enfants,79,358
priere,79,540
chretienne,79,426
jesus,80,307
famille,80,299
dimanche,80,248
social,80,55
projet,80,144
membres,80,107
enfants,80,281
priere,80,456
chretienne,80,354
jesus,81,450
famille,81,315
dimanche,81,208
social,81,40
projet,81,159
membres,81,116
enfants,81,255
priere,81,715
chretienne,81,524
