name,year,frequency
Ukraine-Cryptos,30,141
Covid-cuisine,30,256
Film,31,2051
Automobile,31,409
Musique,31,1165
Animaux,31,140
Sports,31,1276
Voyages,31,538
Gaming,31,2000
Divertissement,31,2304
Politique,31,1150
Beaute,31,1208
Education,31,1113
Associatif,31,2342
Actualites,31,1456
Clubs_foot,31,786
Fortnite,31,2588
Jesus-Snap,31,678
Ukraine-Cryptos,31,145
Covid-cuisine,31,252
Film,32,2014
Automobile,32,438
Musique,32,1082
Animaux,32,145
Sports,32,1155
Voyages,32,419
Gaming,32,1862
Divertissement,32,2244
Politique,32,1262
Beaute,32,1207
Education,32,1163
Associatif,32,2457
Actualites,32,1555
Clubs_foot,32,680
Fortnite,32,1859
Jesus-Snap,32,725
Ukraine-Cryptos,32,196
Covid-cuisine,32,230
Film,33,1918
Automobile,33,443
Musique,33,873
Animaux,33,137
Sports,33,1157
Voyages,33,482
Gaming,33,1824
Divertissement,33,2187
Politique,33,1345
Beaute,33,1197
Education,33,1266
Associatif,33,2443
Actualites,33,1630
Clubs_foot,33,788
Fortnite,33,1963
Jesus-Snap,33,803
Ukraine-Cryptos,33,218
Covid-cuisine,33,230
Film,34,1840
Automobile,34,471
Musique,34,899
Animaux,34,129
Sports,34,1298
Voyages,34,578
Gaming,34,1944
Divertissement,34,2149
Politique,34,1249
Beaute,34,1177
Education,34,1226
Associatif,34,2451
Actualites,34,1722
Clubs_foot,34,1000
Fortnite,34,3365
Jesus-Snap,34,759
Ukraine-Cryptos,34,266
Covid-cuisine,34,226
Film,35,1755
Automobile,35,524
Musique,35,1000
Animaux,35,122
Sports,35,1477
Voyages,35,510
Gaming,35,2010
Divertissement,35,2134
Politique,35,1195
Beaute,35,1158
Education,35,1132
Associatif,35,2511
Actualites,35,1620
Clubs_foot,35,1030
Fortnite,35,3451
Jesus-Snap,35,672
Ukraine-Cryptos,35,279
Covid-cuisine,35,185
Film,36,1443
Automobile,36,542
Musique,36,1097
Animaux,36,166
Sports,36,1402
Voyages,36,516
Gaming,36,2229
Divertissement,36,1979
Politique,36,1149
Beaute,36,1236
Education,36,1074
Associatif,36,2444
Actualites,36,1281
Clubs_foot,36,898
Fortnite,36,2523
Jesus-Snap,36,697
Ukraine-Cryptos,36,266
Covid-cuisine,36,120
Film,37,1067
Automobile,37,479
Musique,37,1083
Animaux,37,240
Sports,37,1246
Voyages,37,593
Gaming,37,2637
Divertissement,37,1761
Politique,37,1076
Beaute,37,1448
Education,37,1025
Associatif,37,2229
Actualites,37,1214
Clubs_foot,37,629
Fortnite,37,3550
Jesus-Snap,37,738
Ukraine-Cryptos,37,245
Covid-cuisine,37,75
Film,38,873
Automobile,38,463
Musique,38,1071
Animaux,38,264
Sports,38,1309
Voyages,38,591
Gaming,38,2961
Divertissement,38,1713
Politique,38,1144
Beaute,38,1527
Education,38,1012
Associatif,38,2197
Actualites,38,1359
Clubs_foot,38,442
Fortnite,38,4164
Jesus-Snap,38,772
Ukraine-Cryptos,38,222
Covid-cuisine,38,59
Film,39,832
Automobile,39,468
Musique,39,1111
Animaux,39,269
Sports,39,1326
Voyages,39,596
Gaming,39,2951
Divertissement,39,1676
Politique,39,1190
Beaute,39,1559
Education,39,1023
Associatif,39,2148
Actualites,39,1320
Clubs_foot,39,368
Fortnite,39,4426
Jesus-Snap,39,759
Ukraine-Cryptos,39,239
Covid-cuisine,39,54
Film,40,876
Automobile,40,462
Musique,40,1144
Animaux,40,252
Sports,40,1214
Voyages,40,637
Gaming,40,2841
Divertissement,40,1620
Politique,40,1120
Beaute,40,1560
Education,40,978
Associatif,40,2112
Actualites,40,1260
Clubs_foot,40,421
Fortnite,40,4509
Jesus-Snap,40,761
Ukraine-Cryptos,40,195
Covid-cuisine,40,70
Film,41,905
Automobile,41,469
Musique,41,1140
Animaux,41,240
Sports,41,1153
Voyages,41,671
Gaming,41,3456
Divertissement,41,1604
Politique,41,1040
Beaute,41,1531
Education,41,970
Associatif,41,2194
Actualites,41,1300
Clubs_foot,41,458
Fortnite,41,4357
Jesus-Snap,41,757
Ukraine-Cryptos,41,161
Covid-cuisine,41,95
